title,date,note_count,summary,question,questioner
i-just-started-to-follow-you-and-you-find-the,2017-11-10 01:01:28 GMT,115,I just started to follow you and you find the cutest pups!! I was wondering if you could find some black golden doodles. ...,I just started to follow you and you find the cutest pups!! I was wondering if you could find some black golden doodles.  Thanksss!!!,cbearswazy1
ive-been-scrolling-through-your-blog-for-the-past,2017-11-10 00:53:51 GMT,158,I've been scrolling through your blog for the past half hour! These pups are so sweet! Can I request some cavalier king charles...,I've been scrolling through your blog for the past half hour! These pups are so sweet! Can I request some cavalier king charles spaniels?,Anonymous
can-you-maybe-post-sth-with-chow-chow-puppies,2017-11-10 00:51:36 GMT,188,can you maybe post sth with chow-chow puppies? they are so cute and fluffy and i love them more than anything else.  btw : your...,can you maybe post sth with chow-chow puppies? they are so cute and fluffy and i love them more than anything else.  btw : your blog is amazing and so pure i love it so so much. it makes my day to see all these good doggies so thank you for creating this awesome blog !!,Anonymous
hey-i-love-your-blog-its-pure-happiness-could-i,2017-11-10 00:49:09 GMT,150,Hey i love your blog its pure happiness. Could i get some northern inuit husky puppys?,Hey i love your blog its pure happiness. Could i get some northern inuit husky puppys?,lordcommanderoffuckoff
youre-tumblr-is-what-i-envision-heaven-to-look,2017-11-10 00:43:15 GMT,120,You're tumblr is what I envision heaven to look like thanks 💕💕💕💖,You're tumblr is what I envision heaven to look like thanks 💕💕💕💖,traumatantrumtitle,date,note_count,summary,question,questioner
i-just-started-to-follow-you-and-you-find-the,2017-11-10 01:01:28 GMT,115,I just started to follow you and you find the cutest pups!! I was wondering if you could find some black golden doodles. ...,I just started to follow you and you find the cutest pups!! I was wondering if you could find some black golden doodles.  Thanksss!!!,cbearswazy1
ive-been-scrolling-through-your-blog-for-the-past,2017-11-10 00:53:51 GMT,158,I've been scrolling through your blog for the past half hour! These pups are so sweet! Can I request some cavalier king charles...,I've been scrolling through your blog for the past half hour! These pups are so sweet! Can I request some cavalier king charles spaniels?,Anonymous
can-you-maybe-post-sth-with-chow-chow-puppies,2017-11-10 00:51:36 GMT,188,can you maybe post sth with chow-chow puppies? they are so cute and fluffy and i love them more than anything else.  btw : your...,can you maybe post sth with chow-chow puppies? they are so cute and fluffy and i love them more than anything else.  btw : your blog is amazing and so pure i love it so so much. it makes my day to see all these good doggies so thank you for creating this awesome blog !!,Anonymous
hey-i-love-your-blog-its-pure-happiness-could-i,2017-11-10 00:49:09 GMT,150,Hey i love your blog its pure happiness. Could i get some northern inuit husky puppys?,Hey i love your blog its pure happiness. Could i get some northern inuit husky puppys?,lordcommanderoffuckoff
youre-tumblr-is-what-i-envision-heaven-to-look,2017-11-10 00:43:15 GMT,120,You're tumblr is what I envision heaven to look like thanks 💕💕💕💖,You're tumblr is what I envision heaven to look like thanks 💕💕💕💖,traumatantrum
